,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 114,66,241,6,51,96,177,1058,18,5,1,0,54,3,3,6,26,55,1866
3,Sección 115,50,189,6,28,55,131,556,6,2,0,0,27,2,3,7,0,55,1117
4,Sección 116,4,36,1,4,15,10,37,2,0,0,0,4,1,2,0,3,4,123
5,Sección 117,10,76,1,9,13,12,131,2,3,0,0,2,0,0,2,5,6,272
6,Sección 118,8,51,1,5,7,13,67,0,1,0,0,4,0,2,2,0,13,174
7,Sección 119,11,73,1,5,16,30,206,12,0,0,0,0,0,0,0,0,14,368
8,Sección 120,14,21,0,4,6,5,64,3,1,0,0,0,0,0,0,3,9,130
9,Sección 121,17,67,1,19,29,43,110,74,1,0,0,161,0,1,2,0,45,570
10,Sección 122,18,100,5,16,29,52,278,3,1,0,0,7,2,1,0,0,20,532
11,Sección 123,6,80,0,11,25,13,154,0,0,0,0,0,0,0,0,0,13,302
12,Sección 124,18,62,1,7,10,32,143,0,0,0,1,5,0,0,0,0,12,291
13,Sección 125,10,52,0,6,19,21,188,1,0,0,0,6,0,1,6,0,7,317
14,Sección 126,11,94,2,26,15,36,239,3,2,0,0,10,1,3,6,4,9,461
15,Sección 127,139,114,11,71,101,200,1085,13,0,0,0,71,1,10,12,1,43,1872
16,Sección 128,184,139,11,96,143,233,1071,16,4,0,2,72,3,15,19,3,47,2058
17,Sección 129,158,143,12,87,124,262,1143,16,0,1,0,90,6,5,13,1,22,2083
18,Sección 130,168,100,12,78,75,161,773,7,1,1,0,17,2,6,3,1,27,1432
19,Sección 131,113,90,7,20,45,91,234,13,0,0,0,8,14,8,3,0,10,656
20,Sección 132,124,82,9,25,26,76,235,8,1,0,0,5,11,1,5,1,10,619
21,Sección 133,129,86,4,9,24,64,246,11,0,0,0,23,1,1,3,0,9,610
22,Sección 134,128,93,7,65,67,140,678,18,4,0,0,49,4,7,6,3,24,1293
23,Sección 135,129,121,22,102,67,159,855,15,2,1,0,51,0,2,3,1,28,1558
24,Sección 136,82,70,46,71,40,115,356,56,199,0,0,25,1,4,2,0,11,1078
25,Sección 137,127,100,11,74,89,196,796,1,0,1,0,14,6,0,0,0,43,1458
26,Sección 138,58,60,6,37,48,56,243,7,3,0,0,11,0,2,3,2,20,556
27,Sección 139,18,47,2,22,32,27,215,0,0,0,0,0,0,0,0,0,8,371
28,Sección 140,10,26,1,12,7,5,81,0,1,0,0,4,2,1,3,0,5,158
29,Sección 141,12,26,6,12,11,8,107,0,0,0,0,4,0,1,1,0,11,199
30,Sección 142,34,55,9,24,12,31,222,2,0,0,0,5,0,0,0,0,12,406
31,Sección 143,77,121,9,87,70,126,827,3,0,1,1,16,0,6,11,1,23,1379
32,Sección 144,37,41,3,17,25,48,311,9,1,0,0,15,1,0,3,0,4,515
33,Sección 145,24,42,3,16,22,54,328,6,0,0,0,16,0,2,2,0,12,527
34,Sección 146,48,128,3,48,58,52,504,3,1,0,0,37,0,4,5,0,21,912
35,Sección 147,75,52,9,42,47,86,455,0,0,0,0,0,0,0,0,0,26,792
36,Sección 148,54,69,0,62,40,65,404,3,0,0,0,17,0,0,0,0,8,722
37,Sección 149,18,12,0,14,13,23,122,2,0,0,0,0,1,0,0,0,7,212
38,Sección 150,53,24,6,27,16,43,205,0,0,0,0,0,0,0,0,0,2,376
39,Sección 151,20,15,3,26,11,38,318,4,1,0,0,10,0,5,7,0,5,463
40,Sección 350,63,71,2,48,36,91,332,8,4,0,0,22,2,8,6,0,11,704
41,Sección 351,79,89,17,104,69,181,493,8,0,0,2,42,9,2,13,0,24,1132
42,Sección 352,45,38,1,90,50,108,413,9,0,0,0,25,4,6,6,0,21,816
43,Sección 353,85,65,4,49,43,116,543,14,2,0,0,22,3,7,9,1,18,981
44,Sección 354,80,93,9,60,70,167,535,9,1,0,0,36,0,2,3,1,22,1088
